"","colony_id","species","group","genotype","treatment","full_treatment","recovered","airbrush_volume","surface_area","A","CA","di","Cdi","D2","Dsmall","chla.ug.cm2","chlc2.ug.cm2","chla.sym","sym.cm2","prot_mg.cm2","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","CM2.year"
"53","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,4.4911
"54","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,6.2367
"55","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,6.2843
"56","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,7.1096
"57","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,7.8554
"58","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,-2.5709
"59","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,-2.2535
"60","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,-0.3333
"61","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,0.1746
"62","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,0.3809
"63","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,1.7457
"64","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,3.2215
"65","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,4.872
"66","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,5.5067
"67","OFAV_PP_313","OFAV","OFAV_P","313","PP","OFAV_PP","p",19,5.77994429,0.1388,0.0554,0.4302,0.2462,3.46024096367199,0.346024096367199,8.8391941923025,2.05386062639715,4.48781641137178e-06,1969597.992,1.206402907,3.3694096383756,3.94467469858606,6.3002
"68","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,-2.6502
"69","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,2.5867
"70","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,2.8248
"71","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,4.5546
"72","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,5.4909
"73","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,6.0622
"74","OFAV_PP_352","OFAV","OFAV_P","352","PP","OFAV_PP","p",16,6.498607242,0.091,0.0366,0.3569,0.1832,3.23146163754575,0.615516502389667,6.4367022720897,1.43113741970621,4.71054054159217e-06,1366446.635,0.986733427,4.00085726553283,2.9544792114704,9.5217
"75","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,-1.6028
"76","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,-0.8887
"77","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,-0.6189
"78","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,0.3015
"79","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,0.9522
"80","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,2.4122
"81","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,2.5391
"82","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,4.4911
"83","OFAV_PP_356","OFAV","OFAV_P","356","PP","OFAV_PP","p",30,6.103064067,0.1178,0.0438,0.3884,0.2006,2.13007759008996,0,5.21995994966834,1.31589639430865,5.87239631439975e-06,888897.7634,0.870759243,5.16134185291029,4.42400730249454,6.5224
"84","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,-9.8867
"85","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,-4.5387
"86","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,-0.8252
"87","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,0.4126
"88","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,0.9046
"89","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,2.4122
"90","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,3.4596
"91","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,3.523
"92","OFAV_PP_357","OFAV","OFAV_P","357","PP","OFAV_PP","p",23,6.311977716,0.06451526,0.03212338,0.3036,0.2102,2.69329214469616,0,7.29948315299154,1.60065916810661,4.54131611996883e-06,1607349.711,1.18025296,4.37263901138906,4.00825242710664,5.7607
"93","OFAV_PP_358","OFAV","OFAV_P","358","PP","OFAV_PP","p",12.5,5.378830084,0.1044,0.0438,0.3706,0.2227,2.23096840996995,0,6.73341899652145,1.40225660268319,4.62972037420522e-06,1454389.996,0.528059524,2.20772915569943,9.99287933632372,-0.4443
"94","OFAV_PP_358","OFAV","OFAV_P","358","PP","OFAV_PP","p",12.5,5.378830084,0.1044,0.0438,0.3706,0.2227,2.23096840996995,0,6.73341899652145,1.40225660268319,4.62972037420522e-06,1454389.996,0.528059524,2.20772915569943,9.99287933632372,-0.3174
